,viruslast,year,week,month
0,142463.2418485464,2022,22,6
1,211887.2690947187,2022,23,6
2,225206.9277695169,2022,24,6
3,313277.4062402685,2022,25,6
4,327656.6863893906,2022,26,6
5,336766.8286352048,2022,27,7
6,357573.05905030546,2022,28,7
7,360533.6450291498,2022,29,7
8,260479.56502794853,2022,30,7
9,187434.433800046,2022,31,8
10,132965.3150011147,2022,32,8
11,109586.2642656476,2022,33,8
12,102141.77564029476,2022,34,8
13,96106.21350761333,2022,35,8
14,102013.68712733546,2022,36,9
15,98277.36194415236,2022,37,9
16,160196.7873562429,2022,38,9
17,268519.50167080003,2022,39,9
18,192142.72541705487,2022,40,10
19,311381.7224210133,2022,41,10
20,292661.1708806654,2022,42,10
21,235660.0454138914,2022,43,10
22,135068.0265514799,2022,44,11
23,155950.1816756378,2022,45,11
24,145801.32232493284,2022,46,11
25,160319.95674138085,2022,47,11
26,192650.39406130844,2022,48,11
27,260158.32091597427,2022,49,12
28,278847.41669818066,2022,50,12
29,320274.2280538625,2022,51,12
30,346040.5220771688,2022,52,12
